客户类型,客户名称,所在地区,核心特征,决策人,联系方式,BD优先级,触达渠道,破冰话术要点,Email,AI_Project_Title,AI_Technical_Detail,Content_Source,Full_Email,Send_Status,Selected
AI漫剧制片人,MBC Plus,韩国,MBC旗下数字内容平台，短剧《恋爱捕手》衍生IP热度高，角色连戏痛点突出,Lee Jun-ho（制作总监）,邮箱：content@mbcplus.com、LinkedIn,1（高）,LinkedIn+邮件,Character Locker解决跨镜头变脸，10分钟出片，适配韩剧短剧细腻风格与日更节奏,content@mbcplus.com,Korean-style short drama production,seamless character continuity meeting daily serialized demands,🤖 AI生成,"Hi Lee Jun-ho,

I'm Cecilia from Utopai Studios. We're building a ""Cinematic Storytelling Engine"" for people who care about story first.

Loved your work on Korean-style short drama production – particularly the seamless character continuity meeting daily serialized demands.

It got me thinking: how many visionary scripts are shelved not for lack of talent, but because the production scale feels out of reach? At Utopai Studios, we're building a path to help creators move ambitious ideas forward without getting boxed in by scale, time, or existing production limits.

Think less ""AI video tool,"" more director-level control. Our system is designed to maintain perfect character and scene consistency across shots and understand WGA scripts and concept art as direct instructions. It is like a second unit that helps you explore ideas faster, without taking creative control away from you.

A Direct Invitation
Given your visual style, I believe your perspective would be invaluable. We're curating a small group of Pioneer Creators for early collaboration. This includes:
- ✅ Full platform access + signon bonus to onboard
- ✅ Eligibility for a Pioneer Grant for project development
- ✅ Co-credit & distribution pathways for collaborative work

A Simple Way to See If It's a Fit
No lengthy forms. We've made a 2-minute demo that shows our workflow turning a script into coherent scenes. If you're curious:

Simply reply with:
""Send me the demo""

And I'll personally share the link.

Looking forward to seeing if there's a fit.

Best,
Cecilia
Director of Creative Partnerships
Utopai Studios",⏳ 待发送,True
AI漫剧制片人,Wowow,日本,日本老牌付费电视台，拓展短剧业务，注重角色形象稳定性与制作效率,佐藤 健（内容制作部长）,邮箱：content_prod@wowow.co.jp、官网,2（中高）,邮件+案例,Character Locker适配日本短剧写实风格，跨镜头角色零偏差，制作周期缩短70%,content_prod@wowow.co.jp,Japanese short-drama production,flawless character consistency across every shot and sequence.,🤖 AI生成,"Hi there,

I'm Cecilia from Utopai Studios. We're building a ""Cinematic Storytelling Engine"" for people who care about story first.

Loved your work on Japanese short-drama production – particularly the flawless character consistency across every shot and sequence..

It got me thinking: how many visionary scripts are shelved not for lack of talent, but because the production scale feels out of reach? At Utopai Studios, we're building a path to help creators move ambitious ideas forward without getting boxed in by scale, time, or existing production limits.

Think less ""AI video tool,"" more director-level control. Our system is designed to maintain perfect character and scene consistency across shots and understand WGA scripts and concept art as direct instructions. It is like a second unit that helps you explore ideas faster, without taking creative control away from you.

A Direct Invitation
Given your visual style, I believe your perspective would be invaluable. We're curating a small group of Pioneer Creators for early collaboration. This includes:
- ✅ Full platform access + signon bonus to onboard
- ✅ Eligibility for a Pioneer Grant for project development
- ✅ Co-credit & distribution pathways for collaborative work

A Simple Way to See If It's a Fit
No lengthy forms. We've made a 2-minute demo that shows our workflow turning a script into coherent scenes. If you're curious:

Simply reply with:
""Send me the demo""

And I'll personally share the link.

Looking forward to seeing if there's a fit.

Best,
Cecilia
Director of Creative Partnerships
Utopai Studios",⏳ 待发送,True
AI漫剧制片人,GYAO!（富士电视台旗下）,日本,日本免费流媒体，短剧板块用户增长快，成本控制需求强烈,山田 奈绪（运营部长）,邮箱：gyao_content@fujitv.co.jp、LinkedIn,2（中高）,LinkedIn+案例,Character Locker实现低成本高质量制作，100分钟短剧成本＜$8k，适配免费平台盈利逻辑,gyao_content@fujitv.co.jp,low-budget Japanese short dramas,premium production quality maintained under extreme budget constraints,🤖 AI生成,"Hi there,

I'm Cecilia from Utopai Studios. We're building a ""Cinematic Storytelling Engine"" for people who care about story first.

Loved your work on low-budget Japanese short dramas – particularly the premium production quality maintained under extreme budget constraints.

It got me thinking: how many visionary scripts are shelved not for lack of talent, but because the production scale feels out of reach? At Utopai Studios, we're building a path to help creators move ambitious ideas forward without getting boxed in by scale, time, or existing production limits.

Think less ""AI video tool,"" more director-level control. Our system is designed to maintain perfect character and scene consistency across shots and understand WGA scripts and concept art as direct instructions. It is like a second unit that helps you explore ideas faster, without taking creative control away from you.

A Direct Invitation
Given your visual style, I believe your perspective would be invaluable. We're curating a small group of Pioneer Creators for early collaboration. This includes:
- ✅ Full platform access + signon bonus to onboard
- ✅ Eligibility for a Pioneer Grant for project development
- ✅ Co-credit & distribution pathways for collaborative work

A Simple Way to See If It's a Fit
No lengthy forms. We've made a 2-minute demo that shows our workflow turning a script into coherent scenes. If you're curious:

Simply reply with:
""Send me the demo""

And I'll personally share the link.

Looking forward to seeing if there's a fit.

Best,
Cecilia
Director of Creative Partnerships
Utopai Studios",⏳ 待发送,True
AI漫剧制片人,Naver TV,韩国,韩国最大门户网站旗下视频平台，短剧日更量超200条，产能瓶颈明显,Jang Hyun-woo（内容运营负责人）,LinkedIn私信、邮箱：tv_content@naver.com,2（中高）,LinkedIn+社群,批量生成工具适配短平快节奏，1人抵5人团队，角色一致性零失误,tv_content@naver.com,AI-generated Korean web-series,flawless character consistency across high-volume daily episodes,🤖 AI生成,"Hi Jang Hyun-woo,

I'm Cecilia from Utopai Studios. We're building a ""Cinematic Storytelling Engine"" for people who care about story first.

Loved your work on AI-generated Korean web-series – particularly the flawless character consistency across high-volume daily episodes.

It got me thinking: how many visionary scripts are shelved not for lack of talent, but because the production scale feels out of reach? At Utopai Studios, we're building a path to help creators move ambitious ideas forward without getting boxed in by scale, time, or existing production limits.

Think less ""AI video tool,"" more director-level control. Our system is designed to maintain perfect character and scene consistency across shots and understand WGA scripts and concept art as direct instructions. It is like a second unit that helps you explore ideas faster, without taking creative control away from you.

A Direct Invitation
Given your visual style, I believe your perspective would be invaluable. We're curating a small group of Pioneer Creators for early collaboration. This includes:
- ✅ Full platform access + signon bonus to onboard
- ✅ Eligibility for a Pioneer Grant for project development
- ✅ Co-credit & distribution pathways for collaborative work

A Simple Way to See If It's a Fit
No lengthy forms. We've made a 2-minute demo that shows our workflow turning a script into coherent scenes. If you're curious:

Simply reply with:
""Send me the demo""

And I'll personally share the link.

Looking forward to seeing if there's a fit.

Best,
Cecilia
Director of Creative Partnerships
Utopai Studios",⏳ 待发送,True
AI漫剧制片人,dTV（日本电视台旗下）,日本,日本人气视频平台，短剧《东京爱情故事2020》衍生内容需求大，角色稳定刚需,铃木 亮（制作企划部長）,官网：dtv.jp、邮箱：dtv_prod@ntv.co.jp,3（中）,邮件+演示,Character Locker解决衍生短剧角色统一性，制作周期从3天缩至1小时,dtv_prod@ntv.co.jp,Character-locked short-form series,flawless character consistency across rapid-turnaround productions,🤖 AI生成,"Hi there,

I'm Cecilia from Utopai Studios. We're building a ""Cinematic Storytelling Engine"" for people who care about story first.

Loved your work on Character-locked short-form series – particularly the flawless character consistency across rapid-turnaround productions.

It got me thinking: how many visionary scripts are shelved not for lack of talent, but because the production scale feels out of reach? At Utopai Studios, we're building a path to help creators move ambitious ideas forward without getting boxed in by scale, time, or existing production limits.

Think less ""AI video tool,"" more director-level control. Our system is designed to maintain perfect character and scene consistency across shots and understand WGA scripts and concept art as direct instructions. It is like a second unit that helps you explore ideas faster, without taking creative control away from you.

A Direct Invitation
Given your visual style, I believe your perspective would be invaluable. We're curating a small group of Pioneer Creators for early collaboration. This includes:
- ✅ Full platform access + signon bonus to onboard
- ✅ Eligibility for a Pioneer Grant for project development
- ✅ Co-credit & distribution pathways for collaborative work

A Simple Way to See If It's a Fit
No lengthy forms. We've made a 2-minute demo that shows our workflow turning a script into coherent scenes. If you're curious:

Simply reply with:
""Send me the demo""

And I'll personally share the link.

Looking forward to seeing if there's a fit.

Best,
Cecilia
Director of Creative Partnerships
Utopai Studios",⏳ 待发送,True
AI漫剧制片人,U-NEXT,日本,日本综合流媒体，短剧与动漫联动频繁，角色资产复用需求高,高桥 阳介（内容合作部长）,邮箱：content_partner@u-next.co.jp、LinkedIn,3（中）,邮件+1v1演示,Character Locker实现动漫角色真人化短剧复用，跨内容形态角色一致，利润率提升,content_partner@u-next.co.jp,Character-driven cross-media storytelling,seamless character integrity across anime and live-action formats,🤖 AI生成,"Hi there,

I'm Cecilia from Utopai Studios. We're building a ""Cinematic Storytelling Engine"" for people who care about story first.

Loved your work on Character-driven cross-media storytelling – particularly the seamless character integrity across anime and live-action formats.

It got me thinking: how many visionary scripts are shelved not for lack of talent, but because the production scale feels out of reach? At Utopai Studios, we're building a path to help creators move ambitious ideas forward without getting boxed in by scale, time, or existing production limits.

Think less ""AI video tool,"" more director-level control. Our system is designed to maintain perfect character and scene consistency across shots and understand WGA scripts and concept art as direct instructions. It is like a second unit that helps you explore ideas faster, without taking creative control away from you.

A Direct Invitation
Given your visual style, I believe your perspective would be invaluable. We're curating a small group of Pioneer Creators for early collaboration. This includes:
- ✅ Full platform access + signon bonus to onboard
- ✅ Eligibility for a Pioneer Grant for project development
- ✅ Co-credit & distribution pathways for collaborative work

A Simple Way to See If It's a Fit
No lengthy forms. We've made a 2-minute demo that shows our workflow turning a script into coherent scenes. If you're curious:

Simply reply with:
""Send me the demo""

And I'll personally share the link.

Looking forward to seeing if there's a fit.

Best,
Cecilia
Director of Creative Partnerships
Utopai Studios",⏳ 待发送,True
AI漫剧制片人,Hulu Japan,日本,Hulu日本分支，短剧板块与动漫联动，角色资产复用需求高,加藤 健（内容运营总监）,邮箱：hulu_drama@hulu.jp、LinkedIn,2（中高）,邮件+1v1演示,角色资产库跨内容复用，动漫IP短剧快速落地，制作周期缩短60%,hulu_drama@hulu.jp,Anime IP short-form dramas,rapid asset repurposing that accelerates production timelines,🤖 AI生成,"Hi there,

I'm Cecilia from Utopai Studios. We're building a ""Cinematic Storytelling Engine"" for people who care about story first.

Loved your work on Anime IP short-form dramas – particularly the rapid asset repurposing that accelerates production timelines.

It got me thinking: how many visionary scripts are shelved not for lack of talent, but because the production scale feels out of reach? At Utopai Studios, we're building a path to help creators move ambitious ideas forward without getting boxed in by scale, time, or existing production limits.

Think less ""AI video tool,"" more director-level control. Our system is designed to maintain perfect character and scene consistency across shots and understand WGA scripts and concept art as direct instructions. It is like a second unit that helps you explore ideas faster, without taking creative control away from you.

A Direct Invitation
Given your visual style, I believe your perspective would be invaluable. We're curating a small group of Pioneer Creators for early collaboration. This includes:
- ✅ Full platform access + signon bonus to onboard
- ✅ Eligibility for a Pioneer Grant for project development
- ✅ Co-credit & distribution pathways for collaborative work

A Simple Way to See If It's a Fit
No lengthy forms. We've made a 2-minute demo that shows our workflow turning a script into coherent scenes. If you're curious:

Simply reply with:
""Send me the demo""

And I'll personally share the link.

Looking forward to seeing if there's a fit.

Best,
Cecilia
Director of Creative Partnerships
Utopai Studios",⏳ 待发送,True
AI漫剧制片人,Paravi（TBS/富士台联合）,日本,日本两大电视台联合流媒体，短剧注重现实题材，角色一致性需求,佐野 洋子（内容企划部长）,邮箱：paravi_drama@paravi.jp、官网,3（中）,邮件+演示,Character Locker适配现实题材短剧，跨镜头角色自然衔接，制作成本降低70%,paravi_drama@paravi.jp,Realistic slice-of-life shorts,seamless character consistency that grounds every scene in reality.,🤖 AI生成,"Hi there,

I'm Cecilia from Utopai Studios. We're building a ""Cinematic Storytelling Engine"" for people who care about story first.

Loved your work on Realistic slice-of-life shorts – particularly the seamless character consistency that grounds every scene in reality..

It got me thinking: how many visionary scripts are shelved not for lack of talent, but because the production scale feels out of reach? At Utopai Studios, we're building a path to help creators move ambitious ideas forward without getting boxed in by scale, time, or existing production limits.

Think less ""AI video tool,"" more director-level control. Our system is designed to maintain perfect character and scene consistency across shots and understand WGA scripts and concept art as direct instructions. It is like a second unit that helps you explore ideas faster, without taking creative control away from you.

A Direct Invitation
Given your visual style, I believe your perspective would be invaluable. We're curating a small group of Pioneer Creators for early collaboration. This includes:
- ✅ Full platform access + signon bonus to onboard
- ✅ Eligibility for a Pioneer Grant for project development
- ✅ Co-credit & distribution pathways for collaborative work

A Simple Way to See If It's a Fit
No lengthy forms. We've made a 2-minute demo that shows our workflow turning a script into coherent scenes. If you're curious:

Simply reply with:
""Send me the demo""

And I'll personally share the link.

Looking forward to seeing if there's a fit.

Best,
Cecilia
Director of Creative Partnerships
Utopai Studios",⏳ 待发送,True
AI漫剧制片人,TVING Originals,韩国,TVING原创短剧板块，聚焦Z世代内容，个性化角色+高效生产需求,Jung Ho-yeon（原创内容总监）,LinkedIn私信、邮箱：originals@tving.com,3（中）,LinkedIn+展会,AI角色定制+批量生成，适配Z世代审美，1小时出片快速响应市场,originals@tving.com,AI-customized short dramas,seamless fusion of algorithmic casting and Gen-Z aesthetics.,🤖 AI生成,"Hi Jung Ho-yeon,

I'm Cecilia from Utopai Studios. We're building a ""Cinematic Storytelling Engine"" for people who care about story first.

Loved your work on AI-customized short dramas – particularly the seamless fusion of algorithmic casting and Gen-Z aesthetics..

It got me thinking: how many visionary scripts are shelved not for lack of talent, but because the production scale feels out of reach? At Utopai Studios, we're building a path to help creators move ambitious ideas forward without getting boxed in by scale, time, or existing production limits.

Think less ""AI video tool,"" more director-level control. Our system is designed to maintain perfect character and scene consistency across shots and understand WGA scripts and concept art as direct instructions. It is like a second unit that helps you explore ideas faster, without taking creative control away from you.

A Direct Invitation
Given your visual style, I believe your perspective would be invaluable. We're curating a small group of Pioneer Creators for early collaboration. This includes:
- ✅ Full platform access + signon bonus to onboard
- ✅ Eligibility for a Pioneer Grant for project development
- ✅ Co-credit & distribution pathways for collaborative work

A Simple Way to See If It's a Fit
No lengthy forms. We've made a 2-minute demo that shows our workflow turning a script into coherent scenes. If you're curious:

Simply reply with:
""Send me the demo""

And I'll personally share the link.

Looking forward to seeing if there's a fit.

Best,
Cecilia
Director of Creative Partnerships
Utopai Studios",⏳ 待发送,True
AI漫剧制片人,Amazon Prime Video Japan,日本,亚马逊日本流媒体，拓展短剧业务，全球化制作+本土适配需求,高桥 健太（本土内容负责人）,邮箱：jp_content@amazon.com、LinkedIn,2（中高）,邮件+合作提案,Character Locker适配全球化制作标准，本土角色风格调整灵活，成本可控,jp_content@amazon.com,Globalized short-form series,seamless cultural adaptation within a unified production framework.,🤖 AI生成,"Hi there,

I'm Cecilia from Utopai Studios. We're building a ""Cinematic Storytelling Engine"" for people who care about story first.

Loved your work on Globalized short-form series – particularly the seamless cultural adaptation within a unified production framework..

It got me thinking: how many visionary scripts are shelved not for lack of talent, but because the production scale feels out of reach? At Utopai Studios, we're building a path to help creators move ambitious ideas forward without getting boxed in by scale, time, or existing production limits.

Think less ""AI video tool,"" more director-level control. Our system is designed to maintain perfect character and scene consistency across shots and understand WGA scripts and concept art as direct instructions. It is like a second unit that helps you explore ideas faster, without taking creative control away from you.

A Direct Invitation
Given your visual style, I believe your perspective would be invaluable. We're curating a small group of Pioneer Creators for early collaboration. This includes:
- ✅ Full platform access + signon bonus to onboard
- ✅ Eligibility for a Pioneer Grant for project development
- ✅ Co-credit & distribution pathways for collaborative work

A Simple Way to See If It's a Fit
No lengthy forms. We've made a 2-minute demo that shows our workflow turning a script into coherent scenes. If you're curious:

Simply reply with:
""Send me the demo""

And I'll personally share the link.

Looking forward to seeing if there's a fit.

Best,
Cecilia
Director of Creative Partnerships
Utopai Studios",⏳ 待发送,True
